,WORD,TEXTID,TEXT,LINE,LINEPOS,SCREENPOS,LETTERLINEPOS,OLEN,WLEN,PUNCT,OMARKS,EMARKS,WNUM,TXFR,LINE_START,LINE_END
0,Are,1,1,1,1,1,0,3,3,0,0,0,1,351,True,False
1,tourists,1,1,1,2,2,4,8,8,0,0,0,2,3,False,False
2,enticed,1,1,1,3,3,13,7,7,0,0,0,3,1,False,False
3,by,1,1,1,4,4,21,2,2,0,0,0,4,252,False,False
4,these,1,1,1,5,5,24,5,5,0,0,0,5,73,False,False
5,attractions,1,1,1,6,6,30,11,11,0,0,0,6,2,False,False
6,threatening,1,1,1,7,7,42,11,11,0,0,0,7,3,False,False
7,their,1,1,1,8,8,54,5,5,0,0,0,8,225,False,False
8,very,1,1,1,9,9,60,4,4,0,0,0,9,56,False,False
9,existence?,1,1,1,10,10,65,10,9,5,0,1,10,4,False,True
10,The,1,1,2,1,11,0,3,3,0,0,0,11,3511,True,False
11,two,1,1,2,2,12,4,3,3,0,0,0,12,43,False,False
12,young,1,1,2,3,13,8,5,5,0,0,0,13,43,False,False
13,sea-lions,1,1,2,4,14,14,9,9,0,0,0,14,-99,False,False
14,took,1,1,2,5,15,24,4,4,0,0,0,15,17,False,False
15,not,1,1,2,6,16,29,3,3,0,0,0,16,277,False,False
16,the,1,1,2,7,17,33,3,3,0,0,0,17,3511,False,False
17,slightest,1,1,2,8,18,37,9,9,0,0,0,18,3,False,False
18,interest,1,1,2,9,19,47,8,8,0,0,0,19,17,False,False
19,in,1,1,2,10,20,56,2,2,0,0,0,20,1091,False,False
20,our,1,1,2,11,21,59,3,3,0,0,0,21,84,False,False
21,arrival.,1,1,2,12,22,63,8,7,1,0,1,22,2,False,False
22,They,1,1,2,13,23,72,4,4,0,0,0,23,258,False,True
23,were,1,1,3,1,24,0,4,4,0,0,0,24,106,True,False
24,playing,1,1,3,2,25,5,7,7,0,0,0,25,6,False,False
25,on,1,1,3,3,26,13,2,2,0,0,0,26,417,False,False
26,the,1,1,3,4,27,16,3,3,0,0,0,27,3511,False,False
27,"jetty,",1,1,3,5,28,20,6,5,2,0,1,28,1,False,False
28,rolling,1,1,3,6,29,27,7,7,0,0,0,29,1,False,False
29,over,1,1,3,7,30,35,4,4,0,0,0,30,76,False,False
30,and,1,1,3,8,31,40,3,3,0,0,0,31,1283,False,False
31,tumbling,1,1,3,9,32,44,8,8,0,0,0,32,1,False,False
32,into,1,1,3,10,33,53,4,4,0,0,0,33,82,False,False
33,the,1,1,3,11,34,58,3,3,0,0,0,34,3511,False,False
34,water,1,1,3,12,35,62,5,5,0,0,0,35,6,False,False
35,"together,",1,1,3,13,36,68,9,8,2,0,1,36,5,False,True
36,entirely,1,1,4,1,37,0,8,8,0,0,0,37,9,True,False
37,ignoring,1,1,4,2,38,9,8,8,0,0,0,38,1,False,False
38,the,1,1,4,3,39,18,3,3,0,0,0,39,3511,False,False
39,human,1,1,4,4,40,22,5,5,0,0,0,40,25,False,False
40,beings,1,1,4,5,41,28,6,6,0,0,0,41,4,False,False
41,edging,1,1,4,6,42,35,6,6,0,0,0,42,1,False,False
42,awkwardly,1,1,4,7,43,42,9,9,0,0,0,43,1,False,False
43,round,1,1,4,8,44,52,5,5,0,0,0,44,11,False,False
44,them.,1,1,4,9,45,58,5,4,1,0,1,45,80,False,False
45,Our,1,1,4,10,46,64,3,3,0,0,0,46,84,False,False
46,party,1,1,4,11,47,68,5,5,0,0,0,47,22,False,False
47,then,1,1,4,12,48,74,4,4,0,0,0,48,71,False,True
48,had,1,1,5,1,49,0,3,3,0,0,0,49,130,True,False
49,to,1,1,5,2,50,4,2,2,0,0,0,50,1597,False,False
50,step,1,1,5,3,51,7,4,4,0,0,0,51,5,False,False
51,gingerly,1,1,5,4,52,12,8,8,0,0,0,52,1,False,False
52,over,1,1,5,5,53,21,4,4,0,0,0,53,76,False,False
53,hundreds,1,1,5,6,54,26,8,8,0,0,0,54,6,False,False
54,of,1,1,5,7,55,35,2,2,0,0,0,55,1757,False,False
55,marine,1,1,5,8,56,38,6,6,0,0,0,56,3,False,False
56,iguanas,1,1,5,9,57,45,7,7,0,0,0,57,2,False,False
57,basking,1,1,5,10,58,53,7,7,0,0,0,58,2,False,False
58,on,1,1,5,11,59,61,2,2,0,0,0,59,417,False,False
59,the,1,1,5,12,60,64,3,3,0,0,0,60,3511,False,False
60,"rocks,",1,1,5,13,61,68,6,5,2,0,1,61,1,False,True
61,strange,1,2,1,1,1,0,7,7,0,0,0,62,8,True,False
62,creatures,1,2,1,2,2,8,9,9,0,0,0,63,3,False,False
63,with,1,2,1,3,3,18,4,4,0,0,0,64,393,False,False
64,richly,1,2,1,4,4,23,6,6,0,0,0,65,2,False,False
65,coloured,1,2,1,5,5,30,8,8,0,0,0,66,1,False,False
66,velvet,1,2,1,6,6,39,6,6,0,0,0,67,1,False,False
67,"coats,",1,2,1,7,7,46,6,5,2,0,1,68,2,False,False
68,looking,1,2,1,8,8,53,7,7,0,0,0,69,13,False,False
69,like,1,2,1,9,9,61,4,4,0,0,0,70,99,False,False
70,something,1,2,1,10,10,66,9,9,0,0,0,71,29,False,True
71,between,1,2,2,1,11,0,7,7,0,0,0,72,42,True,False
72,a,1,2,2,2,12,8,1,1,0,0,0,73,1434,False,False
73,giant,1,2,2,3,13,10,5,5,0,0,0,74,7,False,False
74,lizard,1,2,2,4,14,16,6,6,0,0,0,75,3,False,False
75,and,1,2,2,5,15,23,3,3,0,0,0,76,1283,False,False
76,a,1,2,2,6,16,27,1,1,0,0,0,77,1434,False,False
77,miniature,1,2,2,7,17,29,9,9,0,0,0,78,1,False,False
78,"dinosaur,",1,2,2,8,18,39,9,8,2,0,1,79,3,False,False
79,and,1,2,2,9,19,49,3,3,0,0,0,80,1283,False,False
80,found,1,2,2,10,20,53,5,5,0,0,0,81,29,False,False
81,nowhere,1,2,2,11,21,59,7,7,0,0,0,82,6,False,False
82,else,1,2,2,12,22,67,4,4,0,0,0,83,9,False,False
83,on,1,2,2,13,23,72,2,2,0,0,0,84,417,False,False
84,earth,1,2,2,14,24,75,5,5,0,0,0,85,8,False,True
85,except,1,2,3,1,25,0,6,6,0,0,0,86,4,True,False
86,here,1,2,3,2,26,7,4,4,0,0,0,87,29,False,False
87,in,1,2,3,3,27,12,2,2,0,0,0,88,1091,False,False
88,the,1,2,3,4,28,15,3,3,0,0,0,89,3511,False,False
89,Galapagos.,1,2,3,5,29,19,10,9,1,0,1,90,7,False,False
90,A,1,2,3,6,30,34,1,1,0,0,0,91,1434,False,False
91,little,1,2,3,7,31,36,6,6,0,0,0,92,33,False,False
92,further,1,2,3,8,32,43,7,7,0,0,0,93,9,False,False
93,on,1,2,3,9,33,51,2,2,0,0,0,94,417,False,False
94,were,1,2,3,10,34,54,4,4,0,0,0,95,106,False,False
95,the,1,2,3,11,35,59,3,3,0,0,0,96,3511,False,False
96,blue-footed,1,2,3,12,36,63,11,11,0,0,0,97,-99,False,True
97,"boobies,",1,2,4,1,37,0,8,7,2,0,1,98,1,True,False
98,birds,1,2,4,2,38,9,5,5,0,0,0,99,8,False,False
99,with,1,2,4,3,39,15,4,4,0,0,0,100,393,False,False
100,brilliant,1,2,4,4,40,20,9,9,0,0,0,101,7,False,False
101,china-blue,1,2,4,5,41,30,10,10,0,0,0,102,-99,False,False
102,"feet,",1,2,4,6,42,41,5,4,2,0,1,103,9,False,False
103,again,1,2,4,7,43,47,5,5,0,0,0,104,28,False,False
104,unique.,1,2,4,8,44,53,7,6,1,0,1,105,7,False,False
105,And,1,2,4,9,45,61,3,3,0,0,0,106,1283,False,False
106,then,1,2,4,10,46,65,4,4,0,0,0,107,71,False,False
107,there,1,2,4,11,47,70,5,5,0,0,0,108,189,False,False
108,were,1,2,4,12,48,76,4,4,0,0,0,109,106,False,True
109,the,1,2,5,1,49,0,3,3,0,0,0,110,3511,True,False
110,flightless,1,2,5,2,50,4,10,10,0,0,0,111,1,False,False
111,"cormorants,",1,2,5,3,51,15,11,10,2,0,1,112,1,False,False
112,birds,1,2,5,4,52,27,5,5,0,0,0,113,8,False,False
113,with,1,2,5,5,53,33,4,4,0,0,0,114,393,False,False
114,vestigial,1,2,5,6,54,38,9,9,0,0,0,115,1,False,False
115,wings,1,2,5,7,55,48,5,5,0,0,0,116,2,False,False
116,"who,",1,2,5,8,56,54,4,3,2,0,1,117,157,False,False
117,over,1,2,5,9,57,59,4,4,0,0,0,118,76,False,False
118,the,1,2,5,10,58,64,3,3,0,0,0,119,3511,False,False
119,"generations,",1,2,5,11,59,68,12,11,2,0,1,120,2,False,True
120,have,1,3,1,1,1,0,4,4,0,0,0,121,361,True,False
121,lost,1,3,1,2,2,5,4,4,0,0,0,122,11,False,False
122,the,1,3,1,3,3,10,3,3,0,0,0,123,3511,False,False
123,ability,1,3,1,4,4,14,7,7,0,0,0,124,9,False,False
124,to,1,3,1,5,5,22,2,2,0,0,0,125,1597,False,False
125,fly,1,3,1,6,6,25,3,3,0,0,0,126,4,False,False
126,because,1,3,1,7,7,29,7,7,0,0,0,127,78,False,False
127,the,1,3,1,8,8,37,3,3,0,0,0,128,3511,False,False
128,nutrients,1,3,1,9,9,41,9,9,0,0,0,129,1,False,False
129,at,1,3,1,10,10,51,2,2,0,0,0,130,269,False,False
130,the,1,3,1,11,11,54,3,3,0,0,0,131,3511,False,False
131,shoreline,1,3,1,12,12,58,9,9,0,0,0,132,2,False,False
132,are,1,3,1,13,13,68,3,3,0,0,0,133,351,False,False
133,so,1,3,1,14,14,72,2,2,0,0,0,134,154,False,False
134,rich,1,3,1,15,15,75,4,4,0,0,0,135,4,False,True
135,they,1,3,2,1,16,0,4,4,0,0,0,136,258,True,False
136,have,1,3,2,2,17,5,4,4,0,0,0,137,361,False,False
137,no,1,3,2,3,18,10,2,2,0,0,0,138,117,False,False
138,need,1,3,2,4,19,13,4,4,0,0,0,139,36,False,False
139,to,1,3,2,5,20,18,2,2,0,0,0,140,1597,False,False
140,leave.,1,3,2,6,21,21,6,5,1,0,1,141,11,False,False
141,The,1,3,2,7,22,32,3,3,0,0,0,142,3511,False,False
142,island,1,3,2,8,23,36,6,6,0,0,0,143,8,False,False
143,of,1,3,2,9,24,43,2,2,0,0,0,144,1757,False,False
144,Fernandina,1,3,2,10,25,46,10,10,0,0,0,145,2,False,False
145,lies,1,3,2,11,26,57,4,4,0,0,0,146,14,False,False
146,at,1,3,2,12,27,62,2,2,0,0,0,147,269,False,False
147,the,1,3,2,13,28,65,3,3,0,0,0,148,3511,False,False
148,far,1,3,2,14,29,69,3,3,0,0,0,149,39,False,False
149,western,1,3,2,15,30,73,7,7,0,0,0,150,3,False,True
150,edge,1,3,3,1,31,0,4,4,0,0,0,151,3,True,False
151,of,1,3,3,2,32,5,2,2,0,0,0,152,1757,False,False
152,the,1,3,3,3,33,8,3,3,0,0,0,153,3511,False,False
153,Galapagos,1,3,3,4,34,12,9,9,0,0,0,154,7,False,False
154,"archipelago,",1,3,3,5,35,22,12,11,2,0,1,155,1,False,False
155,dominated,1,3,3,6,36,35,9,9,0,0,0,156,3,False,False
156,by,1,3,3,7,37,45,2,2,0,0,0,157,252,False,False
157,a,1,3,3,8,38,48,1,1,0,0,0,158,1434,False,False
158,volcano,1,3,3,9,39,50,7,7,0,0,0,159,1,False,False
159,that,1,3,3,10,40,58,4,4,0,0,0,160,871,False,False
160,last,1,3,3,11,41,63,4,4,0,0,0,161,73,False,False
161,erupted,1,3,3,12,42,68,7,7,0,0,0,162,1,False,False
162,only,1,3,3,13,43,76,4,4,0,0,0,163,97,False,True
163,six,1,3,4,1,44,0,3,3,0,0,0,164,13,True,False
164,years,1,3,4,2,45,4,5,5,0,0,0,165,104,False,False
165,"ago,",1,3,4,3,46,10,4,3,2,0,1,166,29,False,False
166,and,1,3,4,4,47,15,3,3,0,0,0,167,1283,False,False
167,home,1,3,4,5,48,19,4,4,0,0,0,168,19,False,False
168,to,1,3,4,6,49,24,2,2,0,0,0,169,1597,False,False
169,some,1,3,4,7,50,27,4,4,0,0,0,170,86,False,False
170,of,1,3,4,8,51,32,2,2,0,0,0,171,1757,False,False
171,the,1,3,4,9,52,35,3,3,0,0,0,172,3511,False,False
172,most,1,3,4,10,53,39,4,4,0,0,0,173,93,False,False
173,remarkable,1,3,4,11,54,44,10,10,0,0,0,174,4,False,False
174,wildlife,1,3,4,12,55,55,8,8,0,0,0,175,5,False,False
175,in,1,3,4,13,56,64,2,2,0,0,0,176,1091,False,False
176,the,1,3,4,14,57,67,3,3,0,0,0,177,3511,False,False
177,world.,1,3,4,15,58,71,6,5,1,0,1,178,60,False,False
178,It,1,3,4,16,59,78,2,2,0,0,0,179,544,False,True
179,was,1,3,5,1,60,0,3,3,0,0,0,180,383,True,False
180,late,1,3,5,2,61,4,4,4,0,0,0,181,11,False,False
181,afternoon,1,3,5,3,62,9,9,9,0,0,0,182,4,False,False
182,on,1,3,5,4,63,19,2,2,0,0,0,183,417,False,False
183,one,1,3,5,5,64,22,3,3,0,0,0,184,176,False,False
184,of,1,3,5,6,65,26,2,2,0,0,0,185,1757,False,False
185,the,1,3,5,7,66,29,3,3,0,0,0,186,3511,False,False
186,last,1,3,5,8,67,33,4,4,0,0,0,187,73,False,False
187,days,1,3,5,9,68,38,4,4,0,0,0,188,28,False,False
188,of,1,3,5,10,69,43,2,2,0,0,0,189,1757,False,False
189,the,1,3,5,11,70,46,3,3,0,0,0,190,3511,False,False
190,"year,",1,3,5,12,71,50,5,4,2,0,1,191,51,False,False
191,and,1,3,5,13,72,56,3,3,0,0,0,192,1283,False,False
192,we,1,3,5,14,73,60,2,2,0,0,0,193,179,False,False
193,had,1,3,5,15,74,63,3,3,0,0,0,194,130,False,False
194,come,1,3,5,16,75,67,4,4,0,0,0,195,37,False,False
195,ashore,1,3,5,17,76,72,6,6,0,0,0,196,3,False,True
196,to,1,4,1,1,1,0,2,2,0,0,0,197,1597,True,False
197,scramble,1,4,1,2,2,3,8,8,0,0,0,198,-99,False,False
198,round,1,4,1,3,3,12,5,5,0,0,0,199,11,False,False
199,the,1,4,1,4,4,18,3,3,0,0,0,200,3511,False,False
200,rough,1,4,1,5,5,22,5,5,0,0,0,201,2,False,False
201,dark,1,4,1,6,6,28,4,4,0,0,0,202,2,False,False
202,lava,1,4,1,7,7,33,4,4,0,0,0,203,-99,False,False
203,rocks,1,4,1,8,8,38,5,5,0,0,0,204,1,False,False
204,of,1,4,1,9,9,44,2,2,0,0,0,205,1757,False,False
205,Punta,1,4,1,10,10,47,5,5,0,0,0,206,1,False,False
206,Espinosa,1,4,1,11,11,53,8,8,0,0,0,207,1,False,False
207,on,1,4,1,12,12,62,2,2,0,0,0,208,417,False,False
208,the,1,4,1,13,13,65,3,3,0,0,0,209,3511,False,False
209,island.,1,4,1,14,14,69,7,6,1,0,1,210,8,False,False
210,In,1,4,1,15,15,77,2,2,0,0,0,211,1091,False,True
211,the,1,4,2,1,16,0,3,3,0,0,0,212,3511,True,False
212,golden,1,4,2,2,17,4,6,6,0,0,0,213,7,False,False
213,afternoon,1,4,2,3,18,11,9,9,0,0,0,214,4,False,False
214,"light,",1,4,2,4,19,21,6,5,2,0,1,215,11,False,False
215,with,1,4,2,5,20,28,4,4,0,0,0,216,393,False,False
216,the,1,4,2,6,21,33,3,3,0,0,0,217,3511,False,False
217,moon,1,4,2,7,22,37,4,4,0,0,0,218,1,False,False
218,rising,1,4,2,8,23,42,6,6,0,0,0,219,5,False,False
219,above,1,4,2,9,24,49,5,5,0,0,0,220,7,False,False
220,the,1,4,2,10,25,55,3,3,0,0,0,221,3511,False,False
221,volcanoes,1,4,2,11,26,59,9,9,0,0,0,222,1,False,False
222,on,1,4,2,12,27,69,2,2,0,0,0,223,417,False,False
223,Isabela,1,4,2,13,28,72,7,7,0,0,0,224,1,False,True
224,Island,1,4,3,1,29,0,6,6,0,0,0,225,8,True,False
225,across,1,4,3,2,30,7,6,6,0,0,0,226,28,False,False
226,the,1,4,3,3,31,14,3,3,0,0,0,227,3511,False,False
227,"strait,",1,4,3,4,32,18,7,6,2,0,1,228,1,False,False
228,we,1,4,3,5,33,26,2,2,0,0,0,229,179,False,False
229,could,1,4,3,6,34,29,5,5,0,0,0,230,84,False,False
230,be,1,4,3,7,35,35,2,2,0,0,0,231,423,False,False
231,forgiven,1,4,3,8,36,38,8,8,0,0,0,232,2,False,False
232,for,1,4,3,9,37,47,3,3,0,0,0,233,519,False,False
233,thinking,1,4,3,10,38,51,8,8,0,0,0,234,10,False,False
234,that,1,4,3,11,39,60,4,4,0,0,0,235,871,False,False
235,we,1,4,3,12,40,65,2,2,0,0,0,236,179,False,False
236,were,1,4,3,13,41,68,4,4,0,0,0,237,106,False,False
237,guests,1,4,3,14,42,73,6,6,0,0,0,238,3,False,True
238,in,1,4,4,1,43,0,2,2,0,0,0,239,1091,True,False
239,paradise.,1,4,4,2,44,3,9,8,1,0,1,240,2,False,False
240,The,1,4,4,3,45,17,3,3,0,0,0,241,3511,False,False
241,creatures,1,4,4,4,46,21,9,9,0,0,0,242,3,False,False
242,you,1,4,4,5,47,31,3,3,0,0,0,243,179,False,False
243,see,1,4,4,6,48,35,3,3,0,0,0,244,41,False,False
244,in,1,4,4,7,49,39,2,2,0,0,0,245,1091,False,False
245,the,1,4,4,8,50,42,3,3,0,0,0,246,3511,False,False
246,Galapagos,1,4,4,9,51,46,9,9,0,0,0,247,7,False,False
247,are,1,4,4,10,52,56,3,3,0,0,0,248,351,False,False
248,remarkable,1,4,4,11,53,60,10,10,0,0,0,249,4,False,False
249,in,1,4,4,12,54,71,2,2,0,0,0,250,1091,False,False
250,their,1,4,4,13,55,74,5,5,0,0,0,251,225,False,True
251,rarity.,1,4,5,1,56,0,7,6,1,0,1,252,2,True,False
252,They,1,4,5,2,57,8,4,4,0,0,0,253,258,False,False
253,are,1,4,5,3,58,13,3,3,0,0,0,254,351,False,False
254,even,1,4,5,4,59,17,4,4,0,0,0,255,84,False,False
255,more,1,4,5,5,60,22,4,4,0,0,0,256,168,False,False
256,so,1,4,5,6,61,27,2,2,0,0,0,257,154,False,False
257,for,1,4,5,7,62,30,3,3,0,0,0,258,519,False,False
258,their,1,4,5,8,63,34,5,5,0,0,0,259,225,False,False
259,lack,1,4,5,9,64,40,4,4,0,0,0,260,7,False,False
260,of,1,4,5,10,65,45,2,2,0,0,0,261,1757,False,False
261,fear.,1,4,5,11,66,48,5,4,1,0,1,262,9,False,False
262,They,1,4,5,12,67,54,4,4,0,0,0,263,258,False,False
263,don't,1,4,5,13,68,59,5,5,8,0,0,264,-99,False,False
264,run,1,4,5,14,69,65,3,3,0,0,0,265,20,False,False
265,away.,1,4,5,15,70,69,5,4,1,0,1,266,27,False,False
266,They,1,4,5,16,71,75,4,4,0,0,0,267,258,False,True
267,carry,1,5,1,1,1,0,5,5,0,0,0,268,6,True,False
268,on,1,5,1,2,2,6,2,2,0,0,0,269,417,False,False
269,basking,1,5,1,3,3,9,7,7,0,0,0,270,2,False,False
270,or,1,5,1,4,4,17,2,2,0,0,0,271,194,False,False
271,playing,1,5,1,5,5,20,7,7,0,0,0,272,6,False,False
272,or,1,5,1,6,6,28,2,2,0,0,0,273,194,False,False
273,mating,1,5,1,7,7,31,6,6,0,0,0,274,2,False,False
274,or,1,5,1,8,8,38,2,2,0,0,0,275,194,False,False
275,incubating,1,5,1,9,9,41,10,10,0,0,0,276,1,False,False
276,their,1,5,1,10,10,52,5,5,0,0,0,277,225,False,False
277,eggs,1,5,1,11,11,58,4,4,0,0,0,278,1,False,False
278,or,1,5,1,12,12,63,2,2,0,0,0,279,194,False,False
279,fighting,1,5,1,13,13,66,8,8,0,0,0,280,2,False,False
280,for,1,5,1,14,14,75,3,3,0,0,0,281,519,False,True
281,territory,1,5,2,1,15,0,9,9,0,0,0,282,3,True,False
282,with,1,5,2,2,16,10,4,4,0,0,0,283,393,False,False
283,blissful,1,5,2,3,17,15,8,8,0,0,0,284,1,False,False
284,disregard,1,5,2,4,18,24,9,9,0,0,0,285,2,False,False
285,for,1,5,2,5,19,34,3,3,0,0,0,286,519,False,False
286,human,1,5,2,6,20,38,5,5,0,0,0,287,25,False,False
287,beings.,1,5,2,7,21,44,7,6,1,0,1,288,4,False,False
288,It,1,5,2,8,22,52,2,2,0,0,0,289,544,False,False
289,is,1,5,2,9,23,55,2,2,0,0,0,290,717,False,False
290,as,1,5,2,10,24,58,2,2,0,0,0,291,422,False,False
291,if,1,5,2,11,25,61,2,2,0,0,0,292,150,False,False
292,you,1,5,2,12,26,64,3,3,0,0,0,293,179,False,False
293,are,1,5,2,13,27,68,3,3,0,0,0,294,351,False,False
294,walking,1,5,2,14,28,72,7,7,0,0,0,295,5,False,True
295,into,1,5,3,1,29,0,4,4,0,0,0,296,82,True,False
296,a,1,5,3,2,30,5,1,1,0,0,0,297,1434,False,False
297,David,1,5,3,3,31,7,5,5,0,0,0,298,12,False,False
298,Attenborough,1,5,3,4,32,13,12,12,0,0,0,299,1,False,False
299,"programme,",1,5,3,5,33,26,10,9,2,0,1,300,8,False,False
300,and,1,5,3,6,34,37,3,3,0,0,0,301,1283,False,False
301,finding,1,5,3,7,35,41,7,7,0,0,0,302,9,False,False
302,that,1,5,3,8,36,49,4,4,0,0,0,303,871,False,False
303,the,1,5,3,9,37,54,3,3,0,0,0,304,3511,False,False
304,real,1,5,3,10,38,58,4,4,0,0,0,305,37,False,False
305,thing,1,5,3,11,39,63,5,5,0,0,0,306,24,False,False
306,is,1,5,3,12,40,69,2,2,0,0,0,307,717,False,False
307,even,1,5,3,13,41,72,4,4,0,0,0,308,84,False,True
308,better,1,5,4,1,42,0,6,6,0,0,0,309,26,True,False
309,than,1,5,4,2,43,7,4,4,0,0,0,310,123,False,False
310,you,1,5,4,3,44,12,3,3,0,0,0,311,179,False,False
311,ever,1,5,4,4,45,16,4,4,0,0,0,312,38,False,False
312,imagined.,1,5,4,5,46,21,9,8,1,0,1,313,2,False,False
313,The,1,5,4,6,47,31,3,3,0,0,0,314,3511,False,False
314,closeness,1,5,4,7,48,35,9,9,0,0,0,315,1,False,False
315,of,1,5,4,8,49,45,2,2,0,0,0,316,1757,False,False
316,the,1,5,4,9,50,48,3,3,0,0,0,317,3511,False,False
317,living,1,5,4,10,51,52,6,6,0,0,0,318,10,False,False
318,natural,1,5,4,11,52,59,7,7,0,0,0,319,9,False,False
319,"world,",1,5,4,12,53,67,6,5,2,0,1,320,60,False,False
320,in,1,5,4,13,54,74,2,2,0,0,0,321,1091,False,True
321,this,1,5,5,1,55,0,4,4,0,0,0,322,293,True,False
322,environment,1,5,5,2,56,5,11,11,0,0,0,323,10,False,False
323,of,1,5,5,3,57,17,2,2,0,0,0,324,1757,False,False
324,volcanic,1,5,5,4,58,20,8,8,0,0,0,325,1,False,False
325,rock,1,5,5,5,59,29,4,4,0,0,0,326,3,False,False
326,and,1,5,5,6,60,34,3,3,0,0,0,327,1283,False,False
327,sweeping,1,5,5,7,61,38,8,8,0,0,0,328,2,False,False
328,beaches,1,5,5,8,62,47,7,7,0,0,0,329,2,False,False
329,and,1,5,5,9,63,55,3,3,0,0,0,330,1283,False,False
330,sparse,1,5,5,10,64,59,6,6,0,0,0,331,2,False,False
331,"vegetation,",1,5,5,11,65,66,11,10,2,0,1,332,2,False,True
332,makes,1,6,1,1,1,0,5,5,0,0,0,333,14,True,False
333,the,1,6,1,2,2,6,3,3,0,0,0,334,3511,False,False
334,Galapagos,1,6,1,3,3,10,9,9,0,0,0,335,7,False,False
335,experience,1,6,1,4,4,20,10,10,0,0,0,336,17,False,False
336,special.,1,6,1,5,5,31,8,7,1,0,1,337,10,False,False
